
image no,detector,descriptor,TTC by Lidar,TTC by camera
14,BRISK,BRIEF,9.59863,13.009
15,BRISK,BRIEF,8.57352,11.0532
16,BRISK,BRIEF,9.51617,13.9521
17,BRISK,BRIEF,9.54658,11.7762
18,BRISK,BRIEF,8.3988,12.9615

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,BRISK,ORB,12.5156,14.5865
2,BRISK,ORB,12.6142,17.8373
3,BRISK,ORB,14.091,14.8719
4,BRISK,ORB,16.6894,16.3966
5,BRISK,ORB,15.9082,19.1438
6,BRISK,ORB,12.6787,19.4256
7,BRISK,ORB,11.9844,17.9004
8,BRISK,ORB,13.1241,16.897
9,BRISK,ORB,13.0241,14.6298
10,BRISK,ORB,11.1746,12.0746
11,BRISK,ORB,12.8086,13.2661
12,BRISK,ORB,8.95978,12.9921
13,BRISK,ORB,9.96439,11.6599
14,BRISK,ORB,9.59863,12.2908
15,BRISK,ORB,8.57352,11.2935
16,BRISK,ORB,9.51617,11.4475
17,BRISK,ORB,9.54658,10.7268
18,BRISK,ORB,8.3988,13.9326

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,BRISK,FREAK,12.5156,12.3483
2,BRISK,FREAK,12.6142,21.7186
3,BRISK,FREAK,14.091,13.5807
4,BRISK,FREAK,16.6894,13.8293
5,BRISK,FREAK,15.9082,23.8766
6,BRISK,FREAK,12.6787,16.3304
7,BRISK,FREAK,11.9844,15.4191
8,BRISK,FREAK,13.1241,18.0417
9,BRISK,FREAK,13.0241,16.3816
10,BRISK,FREAK,11.1746,13.8946
11,BRISK,FREAK,12.8086,13.7618
12,BRISK,FREAK,8.95978,11.9894
13,BRISK,FREAK,9.96439,12.6703
14,BRISK,FREAK,9.59863,11.2498
15,BRISK,FREAK,8.57352,14.7085
16,BRISK,FREAK,9.51617,10.2764
17,BRISK,FREAK,9.54658,9.26682
18,BRISK,FREAK,8.3988,10.7753

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,SIFT,BRISK,12.5156,11.5922
2,SIFT,BRISK,12.6142,13.0527
3,SIFT,BRISK,14.091,13.5432
4,SIFT,BRISK,16.6894,18.9432
5,SIFT,BRISK,15.9082,15.0725
6,SIFT,BRISK,12.6787,11.5722
7,SIFT,BRISK,11.9844,14.0518
8,SIFT,BRISK,13.1241,14.9965
9,SIFT,BRISK,13.0241,12.9427
10,SIFT,BRISK,11.1746,12.138
11,SIFT,BRISK,12.8086,12.7588
12,SIFT,BRISK,8.95978,10.2512
13,SIFT,BRISK,9.96439,9.57842
14,SIFT,BRISK,9.59863,9.88427
15,SIFT,BRISK,8.57352,9.71653
16,SIFT,BRISK,9.51617,8.93133
17,SIFT,BRISK,9.54658,9.53037
18,SIFT,BRISK,8.3988,10.4362

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,SIFT,BRIEF,12.5156,12.2492
2,SIFT,BRIEF,12.6142,13.0746
3,SIFT,BRIEF,14.091,15.0877
4,SIFT,BRIEF,16.6894,22.8605
5,SIFT,BRIEF,15.9082,13.2195
6,SIFT,BRIEF,12.6787,11.9657
7,SIFT,BRIEF,11.9844,15.7349
8,SIFT,BRIEF,13.1241,15.8162
9,SIFT,BRIEF,13.0241,12.7456
10,SIFT,BRIEF,11.1746,10.1242
11,SIFT,BRIEF,12.8086,12.0199
12,SIFT,BRIEF,8.95978,10.1384
13,SIFT,BRIEF,9.96439,10.0189
14,SIFT,BRIEF,9.59863,10.6147
15,SIFT,BRIEF,8.57352,10.0869
16,SIFT,BRIEF,9.51617,9.47477
17,SIFT,BRIEF,9.54658,9.34471
18,SIFT,BRIEF,8.3988,8.7034

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,SIFT,FREAK,12.5156,11.2639
2,SIFT,FREAK,12.6142,13.6164
3,SIFT,FREAK,14.091,13.5403
4,SIFT,FREAK,16.6894,20.5177
5,SIFT,FREAK,15.9082,13.7049
6,SIFT,FREAK,12.6787,11.9744
7,SIFT,FREAK,11.9844,14.6563
8,SIFT,FREAK,13.1241,13.1647
9,SIFT,FREAK,13.0241,13.9264
10,SIFT,FREAK,11.1746,11.3657
11,SIFT,FREAK,12.8086,13.5354
12,SIFT,FREAK,8.95978,10.7273
13,SIFT,FREAK,9.96439,10.0364
14,SIFT,FREAK,9.59863,9.83924
15,SIFT,FREAK,8.57352,8.98777
16,SIFT,FREAK,9.51617,8.72439
17,SIFT,FREAK,9.54658,9.08664
18,SIFT,FREAK,8.3988,9.40597

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,ORB,BRISK,12.5156,14.3109
2,ORB,BRISK,12.6142,20.1071
